atom_type,atom_value,first_seen,last_updated,subcategories,threat_scores,threat_types
file,0336d521fce938c2ff9993cdfb181bcb,2021-07-06T17:41:14Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[91, 50]","['malware', 'phishing']"
file,095a1678021b034903c85dd5acb447ad,2022-02-24T07:43:34Z,2022-03-10T22:11:37Z,"['Attack Pattern:Group Policy Modification - T1484.001', 'Malware:Wiper - S0041', 'Attack Pattern:Data Destruction - T1485', 'Attack Pattern:Disk Structure Wipe - T1561.002', 'Attack Pattern:Signed Binary Proxy Execution - T1218', 'Malware:Trojan', 'Attack Pattern:Inhibit System Recovery - T1490']","[30, 100, 50]","['hack', 'malware', 'phishing']"
file,0bfe7d56dcfb616156fc3069a721a97d403f903aaa996cc95bd433fafb74caa4,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,14c8482f302b5e81e3fa1b18a509289d,2022-01-02T00:00:00Z,2022-03-07T12:27:32Z,"['Malware:STOP', 'Malware:WhisperGate', 'Attack Pattern:Data Destruction - T1485', 'Malware:Trojan']","[27, 100, 81]","['hack', 'malware', 'phishing']"
file,1561ece482c78a2d587b66c8eaf211e806ff438e506fcef8f14ae367db82d9b3,2022-03-02T10:06:16Z,2022-03-07T15:32:14Z,"['Malware:Demo', 'Intrusion Set:Ghostwriter', 'Attack Pattern:Phishing - T1566', 'Malware:STOP Ransomware', 'Attack Pattern:Command and Scripting Interpreter - T1059']",[100],['malware']
file,16a89b871c1570c651f019b82367d00b99b0c11cddd90851839956a5dfc6a1b0,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,175000802098974b1949626db8ee0005,2021-12-15T05:38:00Z,2022-03-06T18:34:00Z,[],[69],['malware']
file,1d8a5b468c90eeb8d6787a2578e840c1f1ff275819fa2dd54d8072304b315178,2022-02-04T04:22:22Z,2022-03-06T11:56:04Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']",[90],['malware']
file,28f8653c8bf051d19be31b6be9ac00d0220b845757f747358ab116684707fa7a,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
file,2afa203a5589ce0e6c01868b7203edc2fa8faa9c9227d717533cf7e156408e28,2022-01-31T16:59:34Z,2022-02-23T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']",[100],['malware']
